年份,考次,考科,題號,題目,選項A,選項B,選項C,選項D,正確答案,答案來源,圖片
民國105年,第1次,醫學(三),72,"一位55歲男性患有肺癌及全身骨轉移,已使用高量嗎啡,病人仍感受無法忍受的不適,要求 醫師讓他睡著就好了,下列那一項是不當的敘述?",使用更高量的嗎啡止痛,給予足量的鎮靜劑協助病人入睡,給予鎮靜劑或止痛劑可能會影響病人的呼吸,"若給予藥物後病人可能會死亡,等於是給病人安樂死,故不宜再給藥",D,原始,[]
民國105年,第1次,醫學(三),73,下列何者不是安寧緩和醫療中常用的鎮靜或止痛藥物?,Morphine,"Demerol(pethidine, meperidine)",Dormicum(midazolam),Valium(diazepam),B,原始,[]
民國105年,第1次,醫學(三),74,"病人主訴胸骨後和上腹部疼痛且食慾不佳,胸部X光檢查呈現如圖,下列那一項診斷最正",hiatal hernia,aortic dissection,myocardial infarction,pneumomediastinum,A,原始,[]
民國105年,第1次,醫學(三),75,"一位體重50公斤有C型肝炎及憂鬱症病史之中年婦人,與丈夫吵架後服用36顆 500mg之普拿疼(acetaminophen)企圖自殺,2小時後出現噁心、嘔吐、全身 乏力的症狀,丈夫立刻將其妻子送醫治療。病人抵達急診時血壓、呼吸、心跳、 體溫正常,意識清楚可交談。病人自述嘔吐完後,精神已經較佳,下列處置何者 最不恰當?",考慮給予acetylcysteine,口服活性碳(activated charcoal),檢測血中鉀離子濃度,"保守觀察,不需進一步處理",D,原始,['images/105020_11_q075_i0.jpg']
民國105年,第1次,醫學(三),76,"針對突發性心跳停止病人,使用治療性低溫療法,下列何者是最佳適應症(indication)?","初始心律為心室顫動(ventricular fibrillation),急救後病人神智恢復","初始心律為心搏停止(asystole),急救後病人神智恢復","初始心律為心室顫動(ventricular fibrillation),急救後病人神智昏迷","初始心律為無脈搏電氣活動(pulseless electrical activity),急救後病人神智昏迷",C,原始,[]
民國105年,第1次,醫學(三),77,"對於急性氣喘發作,下列何者藥物不是第一線的治療選項?",β-2 Adrenergic agents,Anticholinergics,Corticosteroids,Theophylline,D,原始,[]
民國105年,第1次,醫學(三),78,"你目睹一位約30歲女性跳河自殺,經救起後發現無意識與呼吸,於是開始幫她做心肺復甦術 (cardiopulmonary resuscitation)。依照2010版美國心臟醫學會指引(American Heart Association guidelines),做心肺復甦術時胸部按壓與吹氣做幾個循環後需再確認脈搏?",5個循環,10個循環,隨時可再確認,待病人有呼吸時,A,原始,[]
民國105年,第1次,醫學(三),79,"陳姓老翁1個月前因為罹患胰臟癌末期而簽署了安寧緩和醫療意願書,希望病危的時候可以 放棄急救。3天前,陳老先生出現發燒、頻尿的情況,而被送往醫院救治,經過醫師的診察 確認陳老先生為尿路感染合併敗血症,陳老先生於住院中因為血壓不穩,經過輸液治療而導 致肺水腫,醫師建議進行氣管插管併用呼吸器治療,以緩解其肺水腫。此時是否應同意陳老 先生接受插管?","反對,因為陳老先生已經簽署了安寧緩和醫療意願書,不應該違反其意願而為其插管","反對,因為陳老先生為胰臟癌末期,不要再進行過於侵入性的治療,免得增加其痛苦","贊成,雖然陳老先生為胰臟癌末期,也簽署了安寧緩和醫療意願書,但本次住院的原因為 泌尿道感染合併敗血症,並非不可治癒的疾病,醫師應該為其插管治療","贊成,雖然陳老先生為胰臟癌末期,也簽署了安寧緩和醫療意願書,但只要屬於病危的患 者,均應該依醫師法定急救義務而加以急救",C,原始,[]
民國105年,第1次,醫學(三),80,"甲醫師受邀到藥廠所贊助的研討會擔任講師,支領鐘點費5,000元,擔心有利益衝突的問 題。有關利益衝突的敘述與處理,下列何者錯誤?","有效處理利益衝突第一個要件,就是察覺其存在",公開是處理利益衝突的金科玉律,"核准與審核,也是處理利益衝突的方式之一","利益衝突本身就不道德,應全面禁止",D,原始,[]
民國105年,第1次,醫學(五),1,下列那一個腹部器官在腹部鈍傷中最常受到傷害?,肝臟,腎臟,脾臟,胰臟,C,原始,[]
民國105年,第1次,醫學(五),2,"25歲年輕男子,因騎乘重型機車發生事故,造成嚴重骨盆骨折(pelvic fracture)。抵達急診時呈現休克,經大量輸液與 輸血灌救後,收縮壓高於90 mmHg,並隨即接受腹部電腦斷層攝影檢查。但發現骨盆腔出現顯影劑外滲(contrast extravasation)。下列何種治療方法治療出血性休克效果最佳?",繼續輸血(transfusion),骨盆外固定(external fixation),剖腹手術結紮髂外動脈(external iliac artery ligation),血管栓塞術(angio-embolization),D,原始,[]
民國105年,第1次,醫學(五),3,"當車禍事故的傷患被送至急診室急救時,如果發現呼吸道有異物、呼吸困難或神智不清時,應立即給予氣管內插管 (endotracheal intubation)。下列何項為外傷病患緊急插管時,最應該注意之事項?",保護頸椎(cervical spine protection),注意腦壓升高,注意吸入性肺炎(aspiration pneumonia),注意麻藥劑量過多,A,原始,[]
民國105年,第1次,醫學(五),4,"一位70公斤且多重外傷之病人於急診之總輸血量超過2500毫升,雖經過緊急手術止血,受傷後第一天之總輸血量仍超過 5000毫升。於加護病房照護初期,下列何種變化較少出現?",稀釋性血小板缺乏(dilution thrombocytopenia),酸中毒(metabolic acidosis),高血鉀症(hyperkalemia),溶血性反應(hemolytic reaction),D,原始,[]
民國105年,第1次,醫學(五),5,頭部外傷的急救處置應以何者為優先?,胸部X光檢查,檢驗尿液,腹部X光檢查,"矯正低血壓,維持足夠的供氧",D,原始,[]
民國105年,第1次,醫學(五),6,"70歲男性糖尿病人需接受小腸惡性腫瘤切除手術,應採取什麼措施來預防手術部位感染(surgical site infections)?",在手術切開皮膚之後給予抗生素,控制其血糖在200〜250 mg/dL,手術中將病人體溫維持在35.5〜36℃,"手術時間超過使用之抗生素的半生期(half life)2倍長時,追加一次抗生素",D,原始,[]
民國105年,第1次,醫學(五),7,"腹內實質臟器發生鈍性挫傷時,非手術療法(nonoperative management)已成為常態性之治療方式。當摩托車騎士受傷 後,經確認診斷為單獨性肝臟裂傷(isolated liver laceration),經採用非手術療法後,下列何種合併症比較不會出現?",延遲性腹內出血(delayed hemorrhage),肝膿瘍(liver abscess),黃疸(jaundice),血尿(hematuria),D,原始,[]
民國105年,第1次,醫學(五),8,Hirschsprung's disease信賴度最高(gold standard)的診斷依據為何?,超過48小時未解胎便,肛門壓力計檢查(manometry study),直腸切片檢查(rectal biopsy),下消化道鋇劑檢查(lower GI barium enema),C,原始,[]
民國105年,第1次,醫學(五),9,"心包填塞(cardiac tamponade)是下列那一個情形? 中心靜脈壓 動脈壓 心輸出量 混合靜脈血氧飽和度 A ↓ ↓ ↓ ↓ B ↑ ↓ ↓ ↓ C ↑ ↓ ↓ ↑ D ↑ ↑ ↑ ↓ 中心靜脈壓(central venous pressure),動脈壓(arterial blood pressure),心輸出量(cardiac output),混合靜脈血 氧飽和度(mixed venous oxygenation saturation)",A,B,C,D,B,原始,[]
民國105年,第1次,醫學(五),10,"下列有關治療多汗症手術的敘述,何者錯誤?",手掌及腋下多汗可透過胸腔交感神經切除術改善,手術切除的主要部位是第四及第五胸交感神經節,可能副作用中的Horner's syndrome原因是將T1交感神經節切除,可能的副作用包括血胸及氣胸,B,原始,[]
民國105年,第1次,醫學(五),11,最常造成自發性蜘蛛網膜下腔出血的原因是:,高血壓,腫瘤出血,顱內動脈瘤破裂,顱內動靜脈畸形破裂,C,原始,[]
民國105年,第1次,醫學(五),12,"脊椎損傷病人中,容易出現呼吸衰竭的是那幾節?",第三至第五頸椎,第六至第七頸椎,第三至第七胸椎,第四至第五腰椎,A,原始,[]
民國105年,第1次,醫學(五),13,"高血壓性腦內出血,最好發的位置在:",豆狀核(putamen),小腦(cerebellum),橋腦(pons),視丘(thalamus),A,原始,[]
民國105年,第1次,醫學(五),14,"下列有關腦膜瘤(meningioma)的敘述,何者錯誤?",腦膜瘤是由硬腦膜(dura)生長來的,一般而言生長較緩慢,鄰近骨頭有增生(hyperostosis)的現象,矢狀竇旁(parasagittal)的位置最常見,A,原始,[]
民國105年,第1次,醫學(五),15,"急性硬腦膜外血腫(epidural hematoma)的病人,下列敘述何者錯誤?",常合併有顱骨骨折,常因是中腦膜動脈(middle meningeal artery)破裂所致,預後比急性硬腦膜內血腫(acute subdural hematoma)不好,約有1/3的病人到急診處呈昏迷狀態,C,原始,[]
民國105年,第1次,醫學(五),16,表皮樣囊腫(epidermoid tumor)腦瘤會有下列何種特質?,細菌性腦膜炎(bacterial meningitis),伴有先天異常(associated congenital malformations),對放射性治療有效(responsive to radiation therapy),無菌性腦膜炎(aseptic meningitis),D,原始,[]
民國105年,第1次,醫學(五),17,"下列有關掌內肌群(intrinsic muscles)之敘述,何者錯誤?",外展拇肌(abductor pollicis)是由正中神經(median nerve)所支配的,掌短肌(palmaris brevis)是由正中神經(median nerve)所支配的,背側掌骨間肌(dorsal interossei)是由尺神經(ulnar nerve)所支配的,蚓狀肌(lumbricals)是由正中神經(median nerve)和尺神經(ulnar nerve)共同支配的,B,原始,[]
民國105年,第1次,醫學(五),18,當褥瘡(pressure ulcer)侵蝕到肌肉及骨頭的時候屬於:,Stage I,Stage II,Stage III,Stage IV,D,原始,[]
民國105年,第1次,醫學(五),19,"20歲、60公斤體重健康大學生,於餐廳打工時不慎打翻熱茶桶。高溫熱茶潑及他的兩側下肢,造成此二肢體全部燙傷起水 泡。依據「9的規則」(rule of nines)與「帕克蘭公式」(Parkland formula)估算,下列關於此學生之「燙傷面積」及 「受傷後24小時靜脈輸液量」敘述,何者最適當?","36%體表面積、8,640公撮(miniliters, mL.)晶質溶液(crystalloid)","36%體表面積、3,240公撮晶質溶液(crystalloid)加上1,080公撮膠質溶液(colloid)","45%體表面積、10,8000公撮晶質溶液","45%體表面積、4,050公撮晶質溶液加上1,350公撮膠質溶液",A,原始,[]
民國105年,第1次,醫學(五),20,"使用局部的轉位皮瓣(local rotational flaps)時有那些注意事項,但何者除外:",轉位皮瓣的長與寬之比例,縫合後轉位皮瓣周圍所承受的張力,傷口包紮的鬆緊度,縫線的顏色,D,原始,[]
民國105年,第1次,醫學(五),21,"下列有關心房震顫(atrial fibrillation)之敘述,何者錯誤?","藥物療法除了心率控制以外,須包括抗凝血療法以減少血栓產生",手術適應症包括藥物治療無效合併心房震顫引起之心肌病變、無法接受抗心律不整藥物或抗凝血藥物的治療,目前ablation術式包括冷凍療法(cryoablation)、微波燒灼(microwave)、雷射燒灼(laser)等,"目前外科手術中,cut-and-sew Cox-Maze III procedure術後約只有一半的病患可跳回正常的竇性心律",D,原始,[]
民國105年,第1次,醫學(五),22,"針對末期心臟衰竭的病人,在心臟移植之前,尚有其他手術方式可以改善心臟功能及臨床症狀,但下列何者除外?",冠狀動脈繞道手術(coronary artery bypass surgery),二尖瓣逆流重建手術(mitral reconstruction),經心肌雷射血管再生術(transmyocardial laser revascularization),部分左心室心肌切除手術(partial left ventriculectomy),C,原始,[]
民國105年,第1次,醫學(五),23,"下列關於急性心肌梗塞的敘述,何者錯誤?","可能因僧帽瓣破裂(mitral valve)而併發急性僧帽瓣閉鎖不全(mitral regurgitation),需要緊急手術",若發生心室中隔破裂(ventricular septal rupture)需要緊急手術,若發生左心室游離壁破裂(left ventricular freewall rupture)需要緊急手術,主動脈內氣球幫浦(intra-aortic balloon pumping)常用於急性心肌梗塞併發休克,A,原始,[]
民國105年,第1次,醫學(五),24,"下列有關腹主動脈瘤(abdominal aortic aneurysm)手術適應症之敘述,何者錯誤?","最大直徑&gt; 5.5 cm,應手術治療","最大直徑介於4.0~5.0 cm且每年增加1 cm,應手術治療","合併有腹痛,背痛或是血栓形成造成周邊動脈堵塞,應立即手術治療","破裂的腹主動脈瘤,手術死亡率極高,並不建議立即手術治療",D,原始,[]
民國105年,第1次,醫學(五),25,"在食道癌的TNM分期中,其T的分期最準確的檢查為下列何者?",電腦斷層檢查(computed tomography),內視鏡超音波檢查(endoscopic ultrasound),核磁共振影像檢查(magnetic resonance imaging),正子攝影檢查(positron emission tomography),B,原始,[]
民國105年,第1次,醫學(五),26,"當一位肺癌病人其頸部有淋巴結硬塊時,最適當的處置為何?",以內視鏡切除肺腫瘤,以內視鏡切除肺腫瘤加上縱隔淋巴結清掃,以內視鏡切除肺腫瘤加上縱隔及頸部淋巴結清掃,安排頸部淋巴結細針穿刺切片檢查,D,原始,[]
民國105年,第1次,醫學(五),27,食道癌最常見的臨床狀況為何?,發燒,胸痛,漸行性吞嚥困難,食道逆流,C,原始,[]
民國105年,第1次,醫學(五),28,"切除轉移性肺腫瘤,下列敘述何項錯誤?","原發性腫瘤沒有復發情況下,才會進行肺轉移腫瘤切除",內視鏡手術切除轉移肺腫瘤已是標準手術方式,可減少腫瘤負擔(tumor burden),手術前胸部的MRI不一定需要,B,原始,[]
民國105年,第1次,醫學(五),29,"Model for End-Stage Liver Disease(MELD)scale是評估hepatic functional reserve的好方法,其內容不包括下列何者?",serum albumin level,INR(international normalized ratio),serum bilirubin level,serum creatinine level,A,原始,[]
民國105年,第1次,醫學(五),30,肝癌患者有下列何種狀況不適合手術切除?,有肝硬化,腫瘤大於10公分,有腹水無法用利尿劑控制,有末梢門脈血栓,C,原始,[]
民國105年,第1次,醫學(五),31,"下列有關肝臟解剖學之敘述,何者錯誤?",通常膽囊動脈源自於右肝動脈,"最常見的膽道構造為右前枝與右後枝膽管會合後,再與左膽管會合成總肝管(common hepatic duct)",尾狀葉(caudate lobe)指的是Couinaud分類中的第一節葉(segment 1),"即使在門脈高壓的情況底下,門脈循環與系統靜脈循環彼此之間仍然沒有聯繫(connection)",D,原始,[]
民國105年,第1次,醫學(五),32,"一位18歲單身女性,有氣喘病史,右腎萎縮但腎功能正常。兩天前有上腹間歇性疼痛,有時伴有腹脹。她並不在意,但昨 天忽然覺得右下腹疼痛,且有加劇的現象。她來到急診室,當時胃口不佳,但無噁心或嘔吐。血壓107/71 mmHg,體溫 36.8 oC,脈搏74下/min,呼吸 20 次/min。白血球:13000/ mm3,血色素:12.5 g/dL,血小板:259 × 103 /mm3。最可 能的診斷為何?",泌尿道結石,急性闌尾炎,子宮外孕,骨盆腔發炎,B,原始,[]
民國105年,第1次,醫學(五),33,"有關胃腺癌之分期,TNM中“T”代表:",腫瘤位置,腫瘤大小,腫瘤侵犯深度,腫瘤肉眼觀,C,原始,[]
民國105年,第1次,醫學(五),34,"在切片的觀察中,胃黏膜上皮細胞佔比例最高的為:",mucous cell,chief cell,parietal cell,endocrine cell,B,原始,[]
民國105年,第1次,醫學(五),35,"關於胰臟內分泌瘤(pancreatic endocrine tumor)之敘述,下列何者錯誤?","對於有反覆發作難治癒型的消化性潰瘍、嚴重食道發炎或是持續性腹瀉的病人,必須要考慮是否有Zollinger-Ellison syndrome","在Zollinger-Ellison syndrome的病人中有75%其gastrinoma是偶發性的,但有25%的病人是合併有MEN 1 syndrome","所謂MEN 1 syndrome為染色體第11對突變之顯性遺傳,最常見的是有parathyroid tumor、prostate cancer及pancreatic endocrine tumor","對於同時合併有副甲狀腺亢進及 pancreatic endocrine tumor的MEN 1病人,要優先處理副甲狀腺亢進的問題",C,原始,[]
